ID,文構造,語句1,語句2,語句3,語句4,語句5,語句6,以降の文章,正解,日本語訳
65,3年受動態,Letters,must,not,be,written,in,red ink.,Letters must not be written in red ink.,手紙は赤インクで書いてはいけません。
66,3年受動態,By,whom,was,this,old,house,built?,By whom was this old house built? ,この古い家はだれが建てましたか。
67,3年受動態,The,top,of,the,moutain,was,covered with snow.,The top of the moutain was covered with snow.,その山の頂上は雪で覆われていました。
68,3年受動態,Who,was,the,lady,being,spoken,to by at the restaurant?,Who was the lady being spoken to by at the restaurant?,レストランでその婦人はだれに話しかけられていたのですか。
69,3年分詞,Cars,made,in,Japan,are,used,all over the world.,Cars made in Japan are used all over the world.,日本製の車が世界中で使われています。
70,3年分詞,This,is,the,book,chosen,by,our teacher.,This is the book chosen by our teacher.,これは私たちの先生が選んだ本です。
71,3年分詞,The baby,sleeping,in,the bed,is,six,months old.,The baby sleeping in the bed is six months old.,ベットで眠っている赤ちゃんは生まれて6か月です。
72,3年分詞,I,like,the,bag,given,to,me by my aunt.,I like the bag given to me by my aunt.,おばからいただいた鞄が気に入っています。
73,3年分詞,Do,you,know,the boy,walking,with,his hands in his pockets?,Do you know the boy walking with his hands in his pockets?,君はポケットに手を入れて歩いている男の子を知っていますか。
74,3年分詞,All,the,people,invited,to,the,party enjoyed singing songs.,All the people invited to the party enjoyed singing songs.,パーティーに招待された人々は皆、楽しんで歌を歌いました。
75,3年分詞,The,lost,child,was,returened,to,her parents.,The lost child was returened to her parents.,迷子になった子供は、両親のもとに連れ戻された。
76,3年分詞,He,left,the,engine,running,while,he was in store.,He left the engine running while he was in store. ,彼は店内にいる間エンジンをかけっぱなしにしていた。
77,3年分詞,l,found,her,waliing,with,a,rackett in her hand.,l found her waliing with a rackett in her hand.,私は彼女がラケットを手にして歩いているのに気が付いた。
78,3年関係代名詞（主格・目的格）,The,river,that,run,through,this,city are very beautiful.,The river that run through this city are very beautiful.,この市を流れている川はとても美しい。
79,3年関係代名詞（主格・目的格）,The,boy,who,is,talking,with,Ken over there is Mike.,The boy who is talking with Ken over there is Mike.,向こうで健と話している男の子はマイクです。
80,3年関係代名詞（主格・目的格）,The tall boy,who,comes,from,Osaka,is,a friend of mine.,The tall boy who comes from Osaka is a friend of mine.,大阪出身のその背の高い少年は私の友達の一人です。
81,3年関係代名詞（主格・目的格）,The,people,whom,Bill,saw,were,Japanese farmers.,The people whom Bill saw were Japanese farmers.,ビルが見た人々は日本の農家の人々でした。
82,3年関係代名詞（主格・目的格）,The steak,that,we,ate,for,lunch,was good.,The steak that we ate for lunch was good.,私たちが昼食に食べたステーキはおいしかった。
83,3年関係代名詞（主格・目的格）,Is,this,the,ring,which,you,lost?,Is this the ring which you lost?,これがあなたがなくした指輪ですか。
84,3年関係代名詞（主格・目的格）,The,cat,which,has,blue,eyes,always looks lonely.,The cat which has blue eyes always looks lonely.,その青い目をした猫はいつも寂しそうだ。
85,3年関係代名詞（主格・目的格）,She,has,never,been,to,the island,that I'm going to visit.,he has never been to the island that I'm going to visit.,彼女は私が行こうとしている島へ一回も行ったことがありません。
86,3年関係代名詞（主格・目的格）,What,can,we,do,to,help,children who live in Afghanistan?,What can we do to help children who live in Afghanistan?,アフガニスタンに住む子供たちを助けるのにわたしたちは何ができるだろうか。
87,3年関係代名詞（接触節・所有格）,Where,is,the,watch,my,uncle,gave me?,Where is the watch my uncle gave me?,叔父が私にいくれた時計はどこにいありますか。
88,3年関係代名詞（接触節・所有格）,Be,kind,to,the,childlen,whose,parents are dead.,Be kind to the childlen whose parents are dead.,両親を亡くした子供たちには優しくしてあげなさい。
89,3年関係代名詞（接触節・所有格）,He,is,the,man,whom,you,are looking for.,He is the man whom you are looking for.,彼は君が探している人だ。
90,3年関係代名詞（接触節・所有格）,The building,whose,roof,you,can,see,beyound the railroad is our church.,The building whose roof you can see beyound the railroad is our church.,線路の向こうに屋根が見えるのが、私たちの教会です。
91,3年関係代名詞（接触節・所有格）,Is,he,the,only,person,that,knows the way to the lake?,Is he the only person that knows the way to the lake?,その湖へ行く道は彼しか知らないのですか。
92,3年関係代名詞（接触節・所有格）,This,is,the,mostt,beautiful,sunset,I have ever seen.,This is the mostt beautiful sunset I have ever seen.,私はこんなにきれいな夕焼けを見たことがありません。
93,3年関係代名詞（接触節・所有格）,All,you,have,to,do,is,to do your best.,All you have to do is to do your best.,君はただ最善を尽くせばそれでよい。
94,3年間接疑問文,I,don't,know,when,John,will,leave Japan.,I don't know when John will leave Japan.,ジョンがいつ日本を発つのかわかりません。
95,3年間接疑問文,Do,you,know,if,Taro,will come,here tomorrow?,Do you know if Taro will come here tomorrow?,あなたは太郎が明日ここに来るかどうか知っていますか。
96,3年間接疑問文,I,have,no,idea,what,time,it is now.,I have no idea what time it is now.,今何時かわからない。
97,3年間接疑問文,Do,you,know,haw,far,it,is from the earth to the sun?,Do you know haw far it is from the earth to the sun?,あなたは地球から太陽までどれくらいあるか知っていますか。
98,3年間接疑問文,I,wonder,how,he,is,doing,in his school.,I wonder how he is doing in his school.,彼は新しい学校でどうしているのかしら。
99,3年間接疑問文,How,old,do,you,think,she,is.,How old do you think she is.,彼女は何歳だと思いますか。
100,3年間接疑問文,Who,do,you,think,painted,this,picture?,Who do you think painted this picture?,誰がこの絵を描いたと思いますか。
101,3年付加疑問文・否定疑問文,He,store,is,in,front,of,the station、isn't it?,The store is in front of the station, isn't it?その店は駅の前にあるのですね。
102,3年付加疑問文・否定疑問文,She,looks,like,her,mother,very,much 、doesn't she?,She looks like her mother very much, doesn't she?彼女はお母さんによく似ていますね。
103,3年付加疑問文・否定疑問文,Didn't,I,ask,you,not,to,make so much noise?,Didn't I ask you not to make so much noise?そんなにうるさくしないでって君に頼んだでしょ。,
104,3年付加疑問文・否定疑問文,You,don't,know,why,he,was,late、do you?,ou don't know why he was late, do you?あなたはなぜ彼が遅刻したか知らないのですね。
105,3年付加疑問文・否定疑問文,Why don't,we have,some coffee,at,the shop,in,front of the library?,Why don't we have some coffee at the shop in front of the library?,図書館の前の店でコーヒーを飲みませんか。
106,2年一般動詞の過去形,The,yellow,bus,stopped,in front of,our,school.,The yellow bus stopped in front of our school,その黄色いバスは、私たちの学校の前で止まりました。
107,2年一般動詞の過去形,We,talked,with,Mike,in,English,yesterday.,We talked with Mike in English yesterday.,私たちは昨日、マイクと英語で話しました。
108,2年一般動詞の過去形,Did,you,have,a,good,time,yesterday evening?,Did you have a good time yesterday evening?,あなたたちはゆうべ、楽しく過ごしましたか。
109,2年一般動詞の過去形,I,ate,some,sandwiches,for,lunch,today.,I ate some sandwiches for lunch today,わたしは今日、昼食にサンドイッチを食べました。
110,2年一般動詞の過去形,I,wrote,a,letter,to,my,aunt last night,I wrote a letter to my aunt last night.,私は昨夜、おばに手紙を書きました。
111,2年一般動詞の過去形,We,met,our,teacher,at,the,station yesterday.,We met our teacher at the station yesterday.,私たちは昨日、駅で私たちの先生に会いました。
112,2年一般動詞の過去形,She and he,didn't,say,goodbye,to,us,.,She and he didn't say goodbye to us.,彼女と彼はわたしたちにさよならを言いませんでした。
113,2年be動詞の過去形,Was,Taro,Tanaka,your,classmate,last,year?,Was Taro Tanaka your classmate last year?,彼は昨年、あなたのクラスメートだったのですか。
114,2年be動詞の過去形,The,three,questions,were,not,very,difficult.,The three questions were not very difficult.,その三問の質問はあまり難しくありませんでした。
115,2年be動詞の過去形,How,was,the,weather,in,Tokyo,yesterday?,How was the weather in Tokyo yesterday?,きのう、東京の天気はどうでしたか。
116,2年過去進行形,Two,persons,were,sitting,on,the,bench.,Two persons were sitting on the bench.,二人がそのベンチの上に座っていました。
117,2年過去進行形,Were,you,eating,good,dinner,with,frends?,Were you eating good dinner with frends?,あなたはよい夕食を友人と食べていたのですか。
118,2年過去進行形,Mike,was,not,helping,his,mother,with his brohter.,Mike was not helping his mother with his brohter.,マイクは兄とお母さんを手伝っていませんでした。
119,2年過去進行形,What,were,you,looking,for,with,your friend?,What were you looking for with your friend?,あなたは友人と何を探していましたか。
120,2年過去進行形,Who,was,using,this,computer,five,minutes ago?,Who was using this computer five minutes ago?,誰が5分前にこのコンピュータを使っていましたか。
121,2年be going to,We,are,going,to,have,a,test in English tomorrow.,We are going to have a test in English tomorrow.,私たちは明日、英語のテストがあります。
122,2年be going to,I,am,going,to,write,a,letter to my pen pal in Canada today.,I am going to write a letter to my pen pal in Canada today.,私たちは今日、カナダのペンパルに手紙を書くつもりです。
123,2年be going to,When,are,you,going,to,visite,Kyoto?,When are you going to visite Kyoto?,あなたはいつ京都を訪れるつもりですか。
124,2年be going to,What,are,you,going,to,buy,at the shop?,What are you going to buy at the shop?,あなたはその店で何を買うつもりですか。
125,2年will,It,will,be,sunny,and,good,tomorrow.,It will be sunny and good tomorrow.,明日は良い天気でいい日でしょう
126,2年will,Will,she,finish,the,work,by,12 o'clock?,Will she finish the work by 12 o'clock?,彼女は１２時までに、その仕事を終えるでしょうか。
127,2年will,Shalll,I,bring,your,big,dictionary,?,Shall I bring your big dictionary?,私があなたの大きな辞書を持ってきてあげましょうか。
128,2年will,Could,you,speak,in,Japanese,or,English?,Could you speak in Japanese or English?,日本語か英語で話してくれませんか。
129,2年will,Shall,we,watch,a,basketball,game,on TV?,Shall we watch a basketball game on TV?,テレビで野球の試合を見ましょうか
130,2年will,My brother,will,leave,for,Osaka,by,plane tomorrow morning.,My brother will leave for Osaka by plane tomorrow morning.,私の兄は明日の朝、飛行機で大阪へ発ちます。
131,2年will,How,old,will,he,be,next,year?,How old will he be next year?,彼は来年、何歳になりますか。
132,2年There is[are]….の文,There,are,thirty,students,in,my,class.,There are thirty students in my class.,私のクラスには生徒が３０人います。
133,2年There is[are]….の文,There,were,not,any,pictures,on,the wall.,There were not any pictures on the wall.,壁には１枚も写真がありませんでした。
134,2年There is[are]….の文,Is,there,a,post office,near,here,?,Is there a post office near here ?,この近くに郵便局はありますか。
135,2年There is[are]….の文,There,are,five,people,in,my,family.,There are five people in my family.,私の家族は５人です。
136,2年There is[are]….の文,There,was,a,boy,next,to,Tom.,There was a boy next to Tom.,トムの隣に男の子がいました。
137,2年There is[are]….の文,Your,pen,was,on,my,desk,.,Your pen was on my desk.,あなたのペンが私の机の上にもありました。
138,2年There is[are]….の文,There,are,no,windows,in,this,room.,There are no windows in this room.,この部屋には窓が１つもありません。
139,2年There is[are]….の文,How,many,days,are,there,in,this month?,How many days are there in this month?,今月は何日ですか。
140,2年名詞・冠詞,She,clean,her,room,twice,a,week.,She clean her room twice a week.,彼女は週に２回、自分の部屋を掃除します。
141,2年名詞・冠詞,There,was,a,piece,of,chalk,on,the,desk.机の上にチョークが１本ありました。
142,2年名詞・冠詞,Does,he,go,to,a,boy's,high school?,Does he go to a boy's high school?,彼は男子校に通っているのですか。
143,2年名詞・冠詞,She,took,care,of,the,sick,.,She took care of the sick.,彼女は病人たちの世話をしました。
144,2年代名詞,It,is,about,two,kilometers,from,here to the station.,It is about two kilometers from here to the station.,ここから駅までは２キロくらいです。
145,2年代名詞,Will,it,snow,in,New York,tomorrow,.,Will it snow in New York tomorrow.,ニューヨークでは明日、雪が降るのでしょうか。
146,2年代名詞,The man,lived,in,a,large,house,by himself.,The man lived in a large house by himself.,その男の人は大きな家に１人で住んでいました。
147,2年代名詞,Both,of,my,parents,play,tennis,well.,Both of my parents play tennis well.,私の両親は２人ともテニスが上手です。
148,2年代名詞,Either,of,us,has,to,take,care of the child.,Either of us has to take care of the child.,私たちのどちらかが、その子供の世話をしなければなりません。
149,2年代名詞,Each,of,the,countries,has,its,own culture.,Each of the countries has its own culture.,国にはそれぞれ独自の文化があります。
150,2年代名詞,I,found,nothing,in,the,box,.,I found nothing in the box.,その箱の中には何も入っていませんでした。
151,2年形容詞・副詞,He,has,a,few,friends,in,Canada.,He has a few friends in Canada.,彼にはカナダに数人の友達がいます。
152,2年形容詞・副詞,We,had,little,rain,last,week,.,We had little rain last week.,先週は雨がほとんど降りませんでした。
153,2年形容詞・副詞,My,mother,is,a,very,good,cook.,My mother is a very good cook.,私の母はとても料理が得意です。
154,2年形容詞・副詞,Almost,all,the,students,in,this class,watched the movie,Almost all the students in this class watched the movie.,このクラスのほとんどの生徒がその映画を見ました。
155,2年形容詞・副詞,Few,people,knew,his,name,yesterday,.,Few people knew his name.,彼の名前を知っている者は昨日ほとんどいませんてした。
156,2年形容詞・副詞,Every,boy,in,our class,likes,baseball,.,Every boy in our class likes baseball.,私たちのクラスの男の子はだれもみんな野球が大好きです。
157,2年形容詞・副詞,My father,came,home,late,last,night,.,My father came home late last night.,父は昨夜遅く帰宅しました。
158,2年形容詞・副詞,She,always,drives,a,car,very,carefully.,She always drives a car very carefully.,彼女はいつも、とても注意深く車を運転します。
159,2年文型,We,are,going,to,call,the,cat Shiro.,We are going to call the cat Shiro.,私たちはその猫をシロと呼ぶつもりです。
160,2年文型,They,named,their,son,Taro,yesterday,.,They named their son Taro yesterday.,彼らは息子を太郎と名付けました。
161,2年文型,The,news,will,make,him,haappy,.,The news will make him haappy.,そのニュースは彼を喜ばせるでしょう。
162,2年文型,I,will,make,my,son,a,doctor.,I will make my son a doctor.,私は息子を医者にしようと思っています。
163,2年文型,You,must,always,keep,your,room,clean.,You must always keep your room clean.,君はいつも自分の部屋をきれいにしておかなければなりません。
164,2年文型,My,mother,is,a,very,good,violinist.,My mother is a very good violinist.,私の母はとても上手にバイオリンを演奏します。
165,2年文型,Will,you,bring,a,cup,of,tea to me?,Will you bring a cup of tea to me?,私に1杯の紅茶を持ってきてくれませんか。
166,2年文型,I'm,going,to,buy,some,pretty,flowers for her.,I'm going to buy some pretty flowers for her.,私は彼女にきれいな花を買うつもりです。
167,2年文型,He,often,tells,us,interesting,stories,.,He often tells us interesting stories.,彼はよく私たちに面白い話をしてくれます。
168,2年文型,He,is,going,to,make,his,son a doctor.,He is going to make his son a doctor.,彼は息子を医者にするつもりです。
169,2年文型,Your,words,will,make,him,angry,.,Your words will make him angry.,彼は君の言葉を聞いたら起こるでしょう。
170,2年文型,What,do,you,call,this,animal,in English?,What do you call this animal in English?,この動物を英語で何と言いますか。
171,2年不定詞(基本3用法）,His,wish,is,to,be,a,great scientist.,His wish is to be a great scientist.,僕の望みは偉大な科学者になることです。
172,2年不定詞(基本3用法）,I,went,to,the,airport,to,see my sister off.,I went to the airport to see my sister off.,私は姉を見送りに空港へ行きました。
173,2年不定詞(基本3用法）,I,was,very,happy,to,hear,from you.,I was very happy to hear from you.,私はあなたからお便りをもらってとてもうれしかった。
174,2年不定詞(基本3用法）,There,were,a lot of,things,to,see,in the museum.,There were a lot of things to see in the museum.,その博物館には、見るべきたくさんのものがありました。
175,2年不定詞(基本3用法）,To,drive,a,car,is,very,difficult for my mother.,To drive a car is very difficult for my mother.,車を運転することは私の母にとって、とても難しい。
176,2年不定詞(基本3用法）,My,father,gave,me,a lot of,interesting,books to read.,My father gave me a lot of interesting books to read.,父は読むべきたくさんの面白い本を私にくれました。
177,2年不定詞(基本3用法）,We,were,very,surprised,to,see,the accident.,We were very surprised to see the accident.,その事故を目撃して、私たちはとても驚きました。
178,2年不定詞(基本3用法）,Is,there,anything,to,eat,in,the fridge?,Is there anything to eat in the fridge?,冷蔵庫に何か食べるものが入っていますか。
179,2年不定詞(基本3用法）,Will,you,have,something,hot,to,drink?,Will you have something hot to drink?,何か温かい飲みものはいかがですか。
180,2年不定詞(基本3用法）,I,tried,not,to,break,the,expensive dishes.,I tried not to break the expensive dishes.,私はその高価な皿を割らないように努めました。
181,2年不定詞(基本3用法）,I,dicided,to,be,a,doctor,to help poor people.,I dicided to be a doctor to help poor people.,私は貧しい人々を助けるために医者になる決心をしました。
182,2年不定詞(基本3用法）,He,must,be,very,careful,not,to make any mistake.,He must be very careful not to make any mistake.,1つも間違えないなんて、彼はとても注意深いに違いありません。
183,2年動名詞,Speaking,good,English,needs,a,lot,of practice.,Speaking good English needs a lot of practice.,良い英語を話すにはたくさんの練習が必要です。
184,2年動名詞,Thank,you,for,coming,to,the,party.,Thank you for coming to the party.,パーティーにおいでいただいて、ありがとうございます。
185,2年動名詞,Would,you,mind,my,using,your,telephone?,Would you mind my using your telephone?,電話を拝借してもよろしいですか。
186,2年動名詞,Walking,every day,makes,your,body,strong,.,Walking every day makes your body strong.,毎日歩くとあなたの体は丈夫になります。
187,2年動名詞,My,brohter,left,home,without,having,breakfast.,My brohter left home without having breakfast.,私の兄は朝食をとらずに家を出ました。
188,2年動名詞,Did,you,finish,writing,an e-mail,to,your friends?,Did you finish writing an e-mail to your friends?,あなたは友達への電子メールを書き終えたのですか。
189,2年動名詞,My father,is,very,fond,of,playing,golf on Sundays.,My father is very fond of playing golf on Sundays.,私の父は日曜日にゴルフをするのが大好きです。
190,2年動名詞,How,about,swimming,in,the sea,after,lunch?,How about swimming in the sea after lunch?,昼食の後、海で泳ぐのはどうですか。
191,2年不定詞を含む構文,My,sister,wants,to,learn,how,to drive a car.,My sister wants to learn how to drive a car.,私の姉は車の運転の仕方を習いたがっています。
192,2年不定詞を含む構文,In,case,of,earthquake,do,you,know what to do first?,In case of earthquake do you know what to do first?,あなたは地震が起こった場合、最初に何をすべきか知っていますか。"
193,2年不定詞を含む構文,Please,tell,me,when,to,return,this book.,Please tell me when to return this book.,この本をいつ返せばよいのか私に教えてください。
194,2年不定詞を含む構文,When,did,you,learn,how,to,make a cake?,When did you learn how to make a cake?,君はいつケーキの作り方を習ったのですか。
195,2年不定詞を含む構文,He,didn't,know,where,to,go,to buy a map of this town.,He didn't know where to go to buy a map of this town.,彼はこの町の地図を買うのに、どこへ行ったらよいか知りませんでした。
196,2年不定詞を含む構文,It,is,good,for,our,health,to get up early.,It is good for our health to get up early.,早起きは健康によい。
197,2年不定詞を含む構文,It,is,impossible,for,us,to,stay in the water for such a long time.,It is impossible for us to stay in the water for such a long time.,そんなに長い間水中にいることは私たちには無理です。
198,2年不定詞を含む構文,My father,doesn't,want,me,to,be,a singer.,My father doesn't want me to be a singer.,父は私に歌手になってほしくないと思います。
199,2年不定詞を含む構文,The,stone,is,too,heavy,for,me to lift.,The stone is too heavy for me to lift.,その石はとても重いので私には持ち上げられません。
200,2年不定詞を含む構文,I,told,Susan,not,to,go,out alone.,I told Susan not to go out alone.,私はスーザンに1人で外に出ないように言いました。
201,2年不定詞を含む構文,Will you,tell,me,which,train,to,take?,Will you tell me which train to take?,どの列車に乗ったらいいか私に教えてくれませんか。
202,2年不定詞を含む構文,Ken,was,kind,enough,to,help,me with my homework.,Ken was kind enough to help me with my homework.,健は親切にも私の宿題を手伝ってくれました。
203,2年不定詞を含む構文,My,sister,is,not,old,enough,to go to school.,My sister is not old enough to go to school.,私の妹はまだ学校に通う年ではありません。
204,2年不定詞を含む構文,It,is,interesting,to,use,a,computer.,It is interesting to use a computer.,コンピュータを使うのは面白い。
205,2年不定詞を含む構文,It,is,difficult,for,Jim,to,read the book through in a day.,It is difficult for Jim to read the book through in a day.,ジムがその本を1日で読み終えるのは難しい。
206,2年不定詞を含む構文,It,is,dangerous,for,little,children,to swim here.,It is dangerous for little children to swim here.,小さい子供がここで泳ぐのは危険です。
